state_name,county_fips,county_name,votes_gop,votes_dem,total_votes,diff,per_gop,per_dem,per_point_diff,lat,lng,population
Alabama,1095,Marshall County,33191,5943,39655,27248,0.836994074,0.149867608,0.687126466,34.367,-86.3066,95643
Alabama,1097,Mobile County,101243,79474,183164,21769,0.552745081,0.433895307,0.118849774,30.7872,-88.2058,414114
Alabama,1099,Monroe County,6147,4455,10668,1692,0.576209224,0.417604049,0.158605174,31.5709,-87.3655,21270
Alabama,1101,Montgomery County,33311,64529,99139,-31218,0.336002986,0.650894199,-0.314891213,32.2203,-86.2076,226941
Alabama,1103,Morgan County,39664,13234,53722,26430,0.738319497,0.246342281,0.491977216,34.4535,-86.8529,119213
Alabama,1105,Perry County,1339,3860,5230,-2521,0.256022945,0.738049713,-0.482026769,32.6385,-87.2944,9293
Alabama,1107,Pickens County,5594,4022,9668,1572,0.578609847,0.416011585,0.162598262,33.2808,-88.0888,20243
Alabama,1109,Pike County,8042,5636,13841,2406,0.581027382,0.407196012,0.173831371,31.8027,-85.9409,33333
Alabama,1111,Randolph County,8559,2203,10837,6356,0.789794223,0.203285042,0.586509182,33.2938,-85.4591,22647
Alabama,1113,Russell County,9864,11228,21329,-1364,0.462468939,0.526419429,-0.06395049,32.2884,-85.1849,57952
Alabama,1115,St. Clair County,36166,7744,44441,28422,0.813798069,0.174253505,0.639544565,33.7157,-86.3146,87989
Alabama,1117,Shelby County,79700,33268,114950,46432,0.693344933,0.289412788,0.403932144,33.2643,-86.6607,213432
Alabama,1119,Sumter County,1598,4648,6291,-3050,0.25401367,0.738833254,-0.484819584,32.5911,-88.1988,12797
Alabama,1121,Talladega County,22235,13138,35663,9097,0.623475311,0.368393012,0.255082298,33.3801,-86.1659,80387
Alabama,1123,Tallapoosa County,14963,5859,20991,9104,0.712829308,0.279119623,0.433709685,32.8624,-85.7975,40541
Alabama,1125,Tuscaloosa County,51117,37765,90172,13352,0.56688329,0.418810717,0.148072572,33.2896,-87.5251,207305
Alabama,1127,Walker County,26002,4834,31170,21168,0.834199551,0.155085018,0.679114533,33.8033,-87.2973,64110
Alabama,1129,Washington County,6564,2258,8876,4306,0.739522307,0.254393871,0.485128436,31.4076,-88.2078,16541
Alabama,1131,Wilcox County,1833,4048,5903,-2215,0.310520075,0.685753007,-0.375232932,31.9893,-87.3082,10681
Alabama,1133,Winston County,10195,974,11284,9221,0.90349167,0.086316909,0.817174761,34.1492,-87.3737,23784
Arizona,4001,Apache County,11442,23293,35183,-11851,0.325213882,0.662052696,-0.336838814,35.3955,-109.4888,71511
Arizona,4003,Cochise County,35557,23732,60473,11825,0.587981413,0.392439601,0.195541812,31.8796,-109.7512,125867
Arizona,4005,Coconino County,27052,44698,73346,-17646,0.368827203,0.60941292,-0.240585717,35.8387,-111.7705,141274
Arizona,4007,Gila County,18377,8943,27678,9434,0.663956933,0.323108606,0.340848327,33.7997,-110.8117,53546
Arizona,4009,Graham County,10749,4034,14996,6715,0.716791144,0.269005068,0.447786076,32.9326,-109.8875,37996
Arizona,4011,Greenlee County,2433,1182,3688,1251,0.659707158,0.320498915,0.339208243,33.2152,-109.2402,9522
Arizona,4012,La Paz County,5129,2236,7460,2893,0.687533512,0.299731903,0.387801609,33.7294,-113.9816,20793
Arizona,4013,Maricopa County,995665,1040774,2069475,-45109,0.481119608,0.502916923,-0.021797316,33.349,-112.4915,4328810
Arizona,4015,Mohave County,78535,24831,104705,53704,0.750059692,0.237151998,0.512907693,35.7041,-113.758,207695
Arizona,4017,Navajo County,27657,23383,51783,4274,0.534094201,0.451557461,0.08253674,35.3997,-110.3214,109270
Arizona,4019,Pima County,207758,304981,520735,-97223,0.398970686,0.585674095,-0.18670341,32.0974,-111.7899,1027207
Arizona,4021,Pinal County,107077,75106,185037,31971,0.578678859,0.405897199,0.17278166,32.9044,-111.3448,432793
Arizona,4023,Santa Cruz County,6194,13138,19561,-6944,0.316650478,0.671642554,-0.354992076,31.5259,-110.8465,46480
Arizona,4025,Yavapai County,91527,49602,143280,41925,0.638798157,0.34618928,0.292608878,34.5999,-112.554,228067
Arizona,4027,Yuma County,36534,32210,69926,4324,0.522466608,0.460629809,0.061836799,32.7695,-113.9056,209468
Arkansas,5001,Arkansas County,4304,1818,6292,2486,0.684043229,0.288938334,0.395104895,34.2908,-91.3749,17914
