"State","Consumers","Bronze","Silver","Gold","Year"
"North Dakota"," 22,486 "," 6,379 "," 12,602 "," 2,941 ","2018"
"Nebraska"," 88,213 "," 37,488 "," 46,383 "," 3,381 ","2018"
"New Hampshire"," 49,573 "," 16,185 "," 29,747 "," 2,500 ","2018"
"New Jersey"," 274,782 "," 62,984 "," 203,915 "," 5,246 ","2018"
"New Mexico"," 49,792 "," 12,579 "," 19,101 "," 17,970 ","2018"
"Nevada"," 91,003 "," 32,112 "," 54,630 "," 3,599 ","2018"
"New York"," 253,102 "," 83,678 "," 96,395 "," 37,382 ","2018"
"Ohio"," 230,127 "," 94,706 "," 120,803 "," 12,434 ","2018"
"Oklahoma"," 140,184 "," 40,945 "," 93,076 "," 5,673 ","2018"
"Oregon"," 156,105 "," 59,257 "," 82,131 "," 14,436 ","2018"
"Pennsylvania"," 389,081 "," 58,199 "," 222,764 "," 104,920 ","2018"
"Rhode Island"," 33,021 "," 7,124 "," 19,046 "," 6,851 ","2018"
"South Carolina"," 215,983 "," 53,684 "," 152,028 "," 8,092 ","2018"
"South Dakota"," 29,652 "," 10,872 "," 17,595 "," 692 ","2018"
"Tennessee"," 228,646 "," 57,326 "," 167,291 "," 3,613 ","2018"
"Texas"," 1,126,838 "," 323,500 "," 724,641 "," 71,806 ","2018"
"Utah"," 194,118 "," 74,272 "," 116,092 "," 2,649 ","2018"
"Virginia"," 400,015 "," 104,791 "," 271,953 "," 16,353 ","2018"
"Vermont"," 28,763 "," 5,579 "," 18,780 "," 2,195 ","2018"
"Washington"," 243,227 "," 81,575 "," 129,293 "," 28,425 ","2018"
"Wisconsin"," 225,435 "," 75,342 "," 121,876 "," 25,752 ","2018"
"West Virginia"," 27,409 "," 8,767 "," 17,332 "," 1,218 ","2018"
"Wyoming"," 24,529 "," 4,496 "," 8,802 "," 11,231 ","2018"
"Total"," 11,750,175 "," 3,358,078 "," 7,353,570 "," 833,026 ","2018"
"Alaska"," 17,805 "," 9,480 "," 4,330 "," 3,995 ","2019"
"Alabama"," 166,128 "," 19,776 "," 135,798 "," 8,566 ","2019"
"Arkansas"," 67,413 "," 14,784 "," 50,451 "," 1,849 ","2019"
"Arizona"," 160,456 "," 54,797 "," 99,170 "," 5,747 ","2019"
"California"," 1,513,883 "," 441,958 "," 838,826 "," 159,381 ","2019"
"Colorado"," 170,325 "," 87,906 "," 73,463 "," 9,023 ","2019"
"Connecticut"," 111,066 "," 49,134 "," 53,886 "," 6,136 ","2019"
"District of Columbia"," 18,035 "," 5,285 "," 4,804 "," 3,931 ","2019"
"Delaware"," 22,562 "," 6,701 "," 10,224 "," 4,836 ","2019"
"Florida"," 1,783,304 "," 522,385 "," 1,192,450 "," 56,391 ","2019"
"Georgia"," 458,437 "," 89,658 "," 339,381 "," 23,248 ","2019"
"Hawaii"," 20,193 "," 5,321 "," 8,875 "," 4,666 ","2019"
"Iowa"," 49,210 "," 14,033 "," 19,501 "," 15,255 ","2019"
